"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"TOI-3364 b","TOI-3364","Transit",1,1264,425,1264,0,0.387,5706,1.419,1.186,1264,0,1.1933139072498e-06
"TOI-3464 b","TOI-3464","Transit",1,1693,1370,1693,0.25,0.045,6370,1.56,1.363,1693,0,2.85170798218234e-09
"TOI-3474 b","TOI-3474","Transit",1,1451,740,1451,0.13,0.146,6020,1.256,1.121,1451,0,8.58983055718559e-08
"TOI-3486 b","TOI-3486","Transit",1,1190,334,1190,0.078,0.283,4930,0.788,0.837,1190,0,3.3804391942917e-06
"TOI-3493 b","TOI-3493","Transit",1,1102,245,1102,NA,0.03,5844,1.228,1.023,1102,0,1.16612183011336e-05
"TOI-3523 A b","TOI-3523 A","Transit",1,1984,2590,1984,0.047,-0.366,6450,1.448,1.131,1984,0,4.75097681092404e-11
"TOI-3540 A b","TOI-3540 A","Transit",1,1498,841.3,1498,0,0.176,5810,1.228,1.081,1498,0,4.43367852621702e-08
"TOI-3568 b","TOI-3568","Transit",1,899,NA,899,0.035,-0.01,4969,0.719,0.78,899,0,0.000202865700986198
"TOI-3593 b","TOI-3593","Transit",1,1170,308,1170,0.105,0.384,5550,0.918,1.015,1170,0,4.47913450680748e-06
"TOI-3629 b","TOI-3629","Transit",1,690,39,690,0.05,0.4,3870,0.6,0.63,690,0,0.00382688787700455
"TOI-3682 b","TOI-3682","Transit",1,1657,1258,1657,0.22,0.416,5703,1.735,1.32,1657,0,4.73264213460021e-09
"TOI-3688 A b","TOI-3688 A","Transit",1,1534,924.3,1534,0,0.262,5950,1.302,1.199,1534,0,2.6715640614825e-08
"TOI-3693 b","TOI-3693","Transit",1,801,68.6,801,0,0.071,5321,0.791,0.867,801,0,0.000805067104111343
"TOI-3714 b","TOI-3714","Transit",1,750,54,750,0.03,0.1,3660,0.51,0.53,750,0,0.00164865570824219
"TOI-3757 b","TOI-3757","Transit",1,759,55.4,759,0.14,0,3913,0.62,0.64,759,0,0.00145283232386795
"TOI-3785 b","TOI-3785","Transit",1,582,19.1,582,0.11,0.099,3576,0.5,0.52,582,0,0.0172562748209993
"TOI-3807 b","TOI-3807","Transit",1,1646,1230,1646,0,0.278,5772,1.468,1.181,1646,0,5.52491326858031e-09
"TOI-3819 b","TOI-3819","Transit",1,1633,1186,1633,0,0.273,5859,1.538,1.242,1633,0,6.63390745593724e-09
