pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
TOI-1807 b,TOI-1807,Transit,1,1694.1,,1694.1,0.0,0.044,4914.0,0.746,0.8048
TOI-181 b,TOI-181,Transit,1,895.1,102.43,895.1,0.1543,0.272,4994.0,0.745,0.822
TOI-1811 b,TOI-1811,Transit,1,962.2,,962.2,0.052,0.306,4766.0,0.769,0.817
TOI-1820 b,TOI-1820,Transit,1,1375.0,,1375.0,0.043,0.14,5734.0,1.51,1.04
TOI-1823 b,TOI-1823,Transit,1,423.63,,423.63,0.0,0.243,4927.0,0.8049,0.8414
TOI-1824 b,TOI-1824,Transit,1,528.67,,528.67,0.0,0.124,5165.0,0.8123,0.8801
TOI-1836 b,TOI-1836,Transit,1,966.0,,966.0,0.0,-0.101,6380.0,1.577,1.307
TOI-1836 c,TOI-1836,Transit,1,2007.6,,2007.6,0.0,-0.136,6237.0,1.6454,1.2518
TOI-1842 b,TOI-1842,Transit,1,1199.55,,1199.55,0.276,0.332,6039.0,2.032,1.4643
TOI-1846 b,TOI-1846,Transit,1,568.1,17.35,568.1,,0.169,3568.0,0.397,0.418
TOI-1853 b,TOI-1853,Transit,1,1479.0,,1479.0,0.03,0.11,4985.0,0.808,0.837
TOI-1855 b,TOI-1855,Transit,1,1701.0,,1701.0,0.033,0.399,5359.0,1.041,0.987
TOI-1860 b,TOI-1860,Transit,1,1885.0,,1885.0,,0.04,5752.0,0.94,0.99
TOI-1883 b,TOI-1883,Transit,1,524.92,,524.92,,,3477.0,0.494,0.492
TOI-1898 b,TOI-1898,Transit,1,674.54,,674.54,0.485,-0.095,6241.0,1.6131,1.2484
TOI-1899 b,TOI-1899,Transit,1,378.0,3.4,378.0,0.044,0.28,3926.0,0.607,0.632
TOI-1937 A b,TOI-1937 A,Transit,1,2097.0,3230.0,2097.0,0.0,0.196,5814.0,1.08,1.072
TOI-198 b,TOI-198,Transit,1,368.0,,368.0,,-0.7,3650.0,0.441,0.467
TOI-1994 b,TOI-1994,Transit,1,2290.0,,2290.0,0.341,-0.01,7700.0,2.3,1.86
TOI-2000 b,TOI-2000,Transit,1,1488.0,628.0,1488.0,0.0,0.439,5611.0,1.134,1.082
TOI-2000 c,TOI-2000,Transit,1,1038.0,149.0,1038.0,0.063,0.439,5611.0,1.134,1.082
TOI-2010 b,TOI-2010,Transit,1,400.2,4.09,400.2,0.212,0.168,5929.0,1.079,1.112
TOI-2015 b,TOI-2015,Transit,1,530.9,13.185,530.9,0.0789,-0.31,3297.0,0.3273,0.3041
TOI-2015 c,TOI-2015,Transit Timing Variations,1,448.0,6.68,448.0,0.00033,-0.31,3297.0,0.3273,0.3041
TOI-2019 b,TOI-2019,Transit,1,917.46,,917.46,0.0,0.409,5626.0,1.7457,1.1832
TOI-2025 b,TOI-2025,Transit,1,1166.0,,1166.0,0.394,0.15,5977.0,1.459,1.199
TOI-2031 A b,TOI-2031 A,Transit,1,1358.0,567.0,1358.0,0.076,-0.24,6490.0,1.241,1.174
TOI-206 b,TOI-206,Transit,1,910.0,,910.0,,,3383.0,0.35,0.35
TOI-2068 b,TOI-2068,Transit,1,520.62,12.23,520.62,,0.27,3710.0,0.535,0.559
TOI-2076 b,TOI-2076,Transit,1,738.0,49.4,738.0,0.0,0.017,5201.0,0.774,0.883
TOI-2076 c,TOI-2076,Transit,1,543.16,,543.16,0.0,0.02,5192.0,0.796,0.8557
TOI-2076 d,TOI-2076,Transit,1,457.68,,457.68,0.0,0.02,5192.0,0.796,0.8557
TOI-2076 e,TOI-2076,Transit,1,1138.0,,1138.0,,0.02,5192.0,0.796,0.8557
TOI-2081 b,TOI-2081,Transit,1,488.0,8.1,488.0,,-0.5,3800.0,0.534,0.54
TOI-2084 b,TOI-2084,Transit,1,527.0,12.8,527.0,,-0.13,3551.0,0.475,0.453
TOI-2088 b,TOI-2088,Transit,1,300.33,,300.33,0.0,0.339,5081.0,0.8481,0.9027
TOI-2095 b,TOI-2095,Transit,1,347.0,3.43,347.0,0.0,-0.24,3759.0,0.44,0.44
TOI-2095 c,TOI-2095,Transit,1,297.0,1.84,297.0,0.0,-0.24,3759.0,0.44,0.44
