"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"HD 203030 b",1040,174.15,6.38,0.1102
"HD 206893 c",1181.9,175.9,5.08,0.1102
"TOI-5634 A b",837,84.13,2.87,0.1098
"Kepler-20 b",1187,26.2,9.6,0.1095
"TOI-132 b",1395,28.66,3.09,0.1093
"HATS-46 b",1054,26.1,0.29,0.1088
"HATS-62 b",1237,24.57,0.19,0.1083
"HAT-P-12 b",963,27.97,0.3,0.1075
"TOI-2374 b",885,32.3,0.99,0.1071
"TOI-532 b",867,36.41,1.72,0.1071
"Qatar-4 b",1385,138.26,5.19,0.1064
"NGTS-14 A b",1143,27.15,1.31,0.1048
"CoRoT-32 b",938,30.59,1.01,0.1048
"TOI-257 b",1027,27.72,0.66,0.1046
"TOI-5153 b",906,104.59,3.41,0.1044
"TOI-2145 b",1363.43,133.6,5.09,0.1044
"K2-100 b",1841,26.55,2.06,0.1039
"TOI-1075 b",1323,26.4,9.55,0.1038
"HAT-P-67 b",1903,24.08,0.05,0.103
"HATS-7 b",1084,27.53,0.84,0.1022
"HATS-47 b",852.9,34.28,0.33,0.1022
"WASP-130 b",833,70.11,2.17,0.1022
"HATS-43 b",1003,28.05,0.2,0.1016
"HATS-41 b",1710,161.06,5.13,0.1016
"NGTS-1 b",790,46.6,0.43,0.1012
"WASP-182 b",1479,24.89,0.3,0.1011
"WASP-89 b",1120,142.05,6.53,0.101
"TOI-2196 b",1860,30.48,3.32,0.101
"Kepler-75 b",767,184.96,10.85,0.1004
"HATS-49 b",834.8,40.51,0.98,0.1002
"K2-295 b",852,36.45,0.58,0.0995
"K2-66 b",1372,32.76,7.61,0.0987
"Kepler-4 b",1650,27.7,2.11,0.0986
"TOI-3693 b",801,56.81,0.89,0.0984
"GU Psc b",1050,178.25,6.95,0.0982
"TOI-4406 b",904,32.67,0.37,0.0976
"TOI-2497 b",1595,131.33,6.11,0.0973
"HAT-P-54 b",818,53.51,1.12,0.0969
"EPIC 201595106 b",2038,24.79,11.03,0.0968
"HATS-70 b",2730,182.08,6.06,0.0967
"WASP-80 b",825,43.77,0.67,0.0963
"TIC 46432937 b",872,97.88,2.37,0.0961
